total time (train set)	% mean class accuracy (train set)	
 4.0969e+04	 9.8592e+01	
 4.1050e+04	 9.8666e+01	
 4.1131e+04	 9.8759e+01	
 4.1212e+04	 9.8675e+01	
 4.1293e+04	 9.9123e+01	
 4.1374e+04	 9.8890e+01	
 4.1455e+04	 9.8806e+01	
 4.1536e+04	 9.8881e+01	
 4.1617e+04	 9.8722e+01	
 4.1698e+04	 9.8843e+01	
 4.1779e+04	 9.8825e+01	
 4.1860e+04	 9.8983e+01	
 4.1941e+04	 9.8778e+01	
 4.2022e+04	 9.8769e+01	
 4.2103e+04	 9.9039e+01	
 4.2184e+04	 9.9058e+01	
 4.2265e+04	 9.9030e+01	
 4.2346e+04	 9.8918e+01	
 4.2428e+04	 9.8946e+01	
 4.2509e+04	 9.9049e+01	
 4.2590e+04	 9.8993e+01	
 4.2671e+04	 9.8834e+01	
 4.2752e+04	 9.8862e+01	
 4.2833e+04	 9.8862e+01	
 4.2914e+04	 9.8983e+01	
 4.2995e+04	 9.8853e+01	
 4.3076e+04	 9.8797e+01	
 4.3157e+04	 9.9086e+01	
 4.3238e+04	 9.8927e+01	
 4.3319e+04	 9.8983e+01	
 4.3400e+04	 9.9030e+01	
 4.3481e+04	 9.9021e+01	
 4.3562e+04	 9.8937e+01	
 4.3643e+04	 9.8862e+01	
 4.3724e+04	 9.8881e+01	
 4.3805e+04	 9.9077e+01	
 4.3886e+04	 9.8937e+01	
 4.3967e+04	 9.8787e+01	
 4.4048e+04	 9.9021e+01	
 4.4129e+04	 9.9133e+01	
 4.4210e+04	 9.9011e+01	
 4.4291e+04	 9.9058e+01	
 4.4372e+04	 9.8694e+01	
 4.4454e+04	 9.9161e+01	
 4.4535e+04	 9.9011e+01	
 4.4616e+04	 9.9095e+01	
 4.4697e+04	 9.8834e+01	
 4.4778e+04	 9.8918e+01	
 4.4859e+04	 9.8974e+01	
 4.4940e+04	 9.8983e+01	
 4.5021e+04	 9.9133e+01	
 4.5102e+04	 9.9263e+01	
 4.5183e+04	 9.8974e+01	
 4.5264e+04	 9.8834e+01	
 4.5345e+04	 9.8825e+01	
 4.5426e+04	 9.9058e+01	
 4.5507e+04	 9.9114e+01	
 4.5588e+04	 9.9235e+01	
 4.5669e+04	 9.8965e+01	
 4.5750e+04	 9.8825e+01	
 4.5831e+04	 9.8918e+01	
 4.5912e+04	 9.8825e+01	
 4.5993e+04	 9.9002e+01	
 4.6074e+04	 9.8806e+01	
 4.6155e+04	 9.9105e+01	
 4.6236e+04	 9.9142e+01	
 4.6317e+04	 9.9039e+01	
 4.6398e+04	 9.9030e+01	
 4.6479e+04	 9.9207e+01	
 4.6560e+04	 9.9216e+01	
 4.6642e+04	 9.9198e+01	
 4.6723e+04	 9.9002e+01	
 4.6804e+04	 9.9077e+01	
 4.6885e+04	 9.8871e+01	
 4.6966e+04	 9.9133e+01	
 4.7047e+04	 9.9254e+01	
 4.7128e+04	 9.9133e+01	
 4.7209e+04	 9.9039e+01	
 4.7290e+04	 9.9095e+01	
 4.7371e+04	 9.9151e+01	
 4.7452e+04	 9.9450e+01	
 4.7533e+04	 9.9291e+01	
 4.7614e+04	 9.9142e+01	
 4.7695e+04	 9.9198e+01	
 4.7776e+04	 9.9049e+01	
 4.7857e+04	 9.9179e+01	
 4.7938e+04	 9.9123e+01	
 4.8019e+04	 9.9123e+01	
 4.8100e+04	 9.9123e+01	
 4.8181e+04	 9.8974e+01	
 4.8262e+04	 9.9142e+01	
 4.8343e+04	 9.9002e+01	
 4.8424e+04	 9.9021e+01	
 4.8505e+04	 9.9030e+01	
 4.8586e+04	 9.9011e+01	
 4.8667e+04	 9.9189e+01	
 4.8749e+04	 9.9142e+01	
 4.8830e+04	 9.9263e+01	
 4.8911e+04	 9.9151e+01	
 4.8992e+04	 9.9226e+01	
 4.9073e+04	 9.9114e+01	
 4.9154e+04	 9.9226e+01	
 4.9235e+04	 9.9235e+01	
 4.9316e+04	 9.9011e+01	
 4.9397e+04	 9.9049e+01	
 4.9478e+04	 9.9021e+01	
 4.9559e+04	 9.9095e+01	
 4.9640e+04	 9.9300e+01	
 4.9721e+04	 9.9049e+01	
 4.9802e+04	 9.9189e+01	
 4.9883e+04	 9.9347e+01	
 4.9964e+04	 9.9300e+01	
 5.0045e+04	 9.9300e+01	
 5.0126e+04	 9.8983e+01	
 5.0207e+04	 9.9226e+01	
 5.0288e+04	 9.9459e+01	
 5.0369e+04	 9.9338e+01	
 5.0450e+04	 9.9161e+01	
 5.0531e+04	 9.9310e+01	
 5.0612e+04	 9.9366e+01	
 5.0693e+04	 9.9403e+01	
 5.0774e+04	 9.9291e+01	
 5.0855e+04	 9.9086e+01	
 5.0937e+04	 9.9170e+01	
 5.1018e+04	 9.9263e+01	
 5.1099e+04	 9.9151e+01	
 5.1180e+04	 9.9244e+01	
 5.1261e+04	 9.9319e+01	
 5.1342e+04	 9.9431e+01	
 5.1423e+04	 9.9133e+01	
 5.1504e+04	 9.9198e+01	
 5.1585e+04	 9.9272e+01	
 5.1666e+04	 9.9356e+01	
 5.1747e+04	 9.9347e+01	
 5.1828e+04	 9.9319e+01	
 5.1909e+04	 9.9198e+01	
 5.1990e+04	 9.9161e+01	
 5.2071e+04	 9.9179e+01	
 5.2152e+04	 9.9347e+01	
 5.2233e+04	 9.9282e+01	
 5.2314e+04	 9.9244e+01	
 5.2395e+04	 9.9216e+01	
 5.2476e+04	 9.9328e+01	
 5.2557e+04	 9.9282e+01	
 5.2638e+04	 9.9198e+01	
 5.2720e+04	 9.9095e+01	
 5.2801e+04	 9.9226e+01	
 5.2882e+04	 9.9170e+01	
 5.2963e+04	 9.9244e+01	
 5.3044e+04	 9.9151e+01	
 5.3125e+04	 9.9161e+01	
 5.3206e+04	 9.9310e+01	
 5.3287e+04	 9.9235e+01	
 5.3368e+04	 9.9356e+01	
 5.3449e+04	 9.9263e+01	
 5.3530e+04	 9.9394e+01	
 5.3611e+04	 9.9011e+01	
 5.3692e+04	 9.9207e+01	
 5.3773e+04	 9.9216e+01	
 5.3854e+04	 9.9394e+01	
 5.3935e+04	 9.9412e+01	
 5.4016e+04	 9.9347e+01	
 5.4097e+04	 9.9254e+01	
 5.4178e+04	 9.9198e+01	
 5.4259e+04	 9.9356e+01	
 5.4340e+04	 9.9254e+01	
 5.4421e+04	 9.9207e+01	
 5.4502e+04	 9.9459e+01	
 5.4583e+04	 9.9310e+01	
 5.4665e+04	 9.9216e+01	
 5.4746e+04	 9.9328e+01	
 5.4827e+04	 9.9282e+01	
 5.4908e+04	 9.9338e+01	
 5.4989e+04	 9.9291e+01	
 5.5070e+04	 9.9216e+01	
 5.5151e+04	 9.9133e+01	
 5.5232e+04	 9.9412e+01	
 5.5313e+04	 9.9394e+01	
 5.5394e+04	 9.9356e+01	
 5.5475e+04	 9.9300e+01	
 5.5556e+04	 9.9189e+01	
 5.5637e+04	 9.9366e+01	
 5.5718e+04	 9.9468e+01	
 5.5799e+04	 9.9235e+01	
 5.5880e+04	 9.9300e+01	
 5.5961e+04	 9.9235e+01	
 5.6042e+04	 9.9319e+01	
 5.6123e+04	 9.9356e+01	
 5.6204e+04	 9.9319e+01	
 5.6286e+04	 9.9198e+01	
 5.6367e+04	 9.9347e+01	
 5.6448e+04	 9.9291e+01	
 5.6529e+04	 9.9282e+01	
 5.6610e+04	 9.9422e+01	
 5.6691e+04	 9.9440e+01	
 5.6772e+04	 9.9580e+01	
 5.6853e+04	 9.9506e+01	
 5.6934e+04	 9.9487e+01	
 5.7015e+04	 9.9403e+01	
 5.7096e+04	 9.9384e+01	
 5.7177e+04	 9.9403e+01	
 5.7258e+04	 9.9319e+01	
 5.7339e+04	 9.9291e+01	
 5.7420e+04	 9.9375e+01	
 5.7501e+04	 9.9310e+01	
 5.7582e+04	 9.9328e+01	
 5.7663e+04	 9.9347e+01	
 5.7744e+04	 9.9319e+01	
 5.7825e+04	 9.9338e+01	
 5.7906e+04	 9.9310e+01	
 5.7987e+04	 9.9431e+01	
 5.8069e+04	 9.9282e+01	
 5.8150e+04	 9.9310e+01	
 5.8231e+04	 9.9105e+01	
 5.8312e+04	 9.9328e+01	
 5.8393e+04	 9.9254e+01	
 5.8474e+04	 9.9375e+01	
 5.8555e+04	 9.9440e+01	
 5.8636e+04	 9.9272e+01	
